Target_Category,Target_Category_Score,Target_Vulnerability,Target_Vulnerability_Score,Terrain_Type,Terrain_Type_Score,Civilian_Presence,Civilian_Presence_Score,Damage_Assessment,Damage_Assessment_Score,Time_Sensitivity,Time_Sensitivity_Score,Weaponeering,Weaponeering_Score,Friendly_Fire,Friendly_Fire_Score,Politically_Sensitive,Politically_Sensitive_Score,Legal_Advice,Legal_Advice_Score,Ethical_Concerns,Ethical_Concerns_Score,Collateral_Damage_Potential,Collateral_Damage_Potential_Score,AI_Distinction (%),AI_Distinction (%)_Score,AI_Proportionality (%),AI_Proportionality (%)_Score,AI_Military_Necessity,AI_Military_Necessity_Score,Human_Distinction (%),Human_Distinction (%)_Score,Human_Proportionality (%),Human_Proportionality (%)_Score,Human_Military_Necessity,Human_Military_Necessity_Score,Final_Decision
Air Base,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,1,-5,1,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Air Base,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,2,-5,2,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airborne Unit,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,3,-5,3,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airborne Unit,3,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,4,-5,4,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airfield,2,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,5,-5,5,-5,Open to Debate,1,30,-5,30,-5,Open to Debate,2,
Airfield,2,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,6,-5,6,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammo Stockpile,2,High,4,Agricultural Land,4,0,0,High,2,High,3,120mm Mortar,3,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,7,-5,7,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammo Stockpile,2,High,4,Agricultural Land,4,0,0,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,8,-5,8,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammunition Depot,2,High,4,Agricultural Land,4,0,0,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,9,-5,9,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Ammunition Depot,2,High,4,Agricultural Land,4,0,0,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Hypothetical,1,High,-2,10,-5,10,-5,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Armor Unit,3,High,4,Agricultural Land,4, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,11,-4,11,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Armor Unit,3,High,4,Agricultural Land,4, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,12,-4,12,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Artillery Unit,3,High,4,Agricultural Land,4, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,13,-4,13,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Artillery Unit,3,High,4,Border Region,1, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,14,-4,14,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Barracks,1,High,4,Border Region,1, 1-10,-1,High,2,High,3,155mm Artillery,4,High,-1,High,1,It depends,1,Immoral,-2,High,-2,15,-4,15,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Barracks,1,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,16,-4,16,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Battalion HQ,4,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,17,-4,17,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Battalion HQ,4,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,18,-4,18,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Battlegroup HQ,4,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,19,-4,19,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Battlegroup HQ,4,High,4,Communication Infrastructure,2, 1-10,-1,High,2,High,3,Air-to-Surface Missile,5,High,-1,High,1,Lawful,3,Immoral,-2,High,-2,20,-4,20,-4,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Bridging Unit,3,Low,2,Communication Infrastructure,2, 1-10,-1,Low,1,High,3,Air-to-Surface Missile,5,Low,2,Low,1,Lawful,3,It depends,1,Low,1,21,-3,21,-3,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Bridging Unit,3,Low,2,Critical Infrastructure Area,2, 1-10,-1,Low,1,High,3,Air-to-Surface Missile,5,Low,2,Low,1,Lawful,3,It depends,1,Low,1,22,-3,22,-3,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Brigade HQ,4,Low,2,Critical Infrastructure Area,2, 1-10,-1,Low,1,High,3,Air-to-Surface Missile,5,Low,2,Low,1,Lawful,3,It depends,1,Low,1,23,-3,23,-3,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Brigade HQ,3,Low,2,Critical Infrastructure Area,2, 1-10,-1,Low,1,High,3,Anti-Personnel Mine,1,Low,2,Low,1,Lawful,3,It depends,1,Low,1,24,-3,24,-3,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Cargo Aircraft,3,Low,2,Critical Infrastructure Area,2, 1-10,-1,Low,1,High,3,Anti-Personnel Mine,1,Low,2,Low,1,Lawful,3,It depends,1,Low,1,25,-3,25,-3,Open to Debate,1,50,-4,50,-4,Open to Debate,2,
Chapel,-1,Low,2,Critical Infrastructure Area,2, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,It depends,1,Low,1,26,-3,26,-3,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Chapel,-1,Low,2,Critical Infrastructure Area,2, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,It depends,1,Low,1,27,-3,27,-3,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Checkpoint,1,Low,2,Dam and Reservoir,-5, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,It depends,1,Low,1,28,-3,28,-3,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Checkpoint,1,Low,2,Electric Power Grid Network,1, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,It depends,1,Low,1,29,-3,29,-3,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Command Post,4,Low,2,Electric Power Grid Network,1, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,It depends,1,Low,1,30,-3,30,-3,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Command Post,4,Low,2,Electric Power Grid Network,1, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,No,3,Low,1,31,-2,31,-2,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Division HQ,4,Low,2,Electric Power Grid Network,1, 1-10,-1,Low,1,High,3,Cluster Munition,2,Low,2,Low,1,Lawful,3,No,3,Low,1,32,-2,32,-2,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Division HQ,4,Low,2,Forested Terrain,5, 1-10,-1,Low,1,High,3,Cyber Weapon,5,Low,2,Low,1,Lawful,3,No,3,Low,1,33,-2,33,-2,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Dummy Target,1,Low,2,Forested Terrain,5, 1-10,-1,Low,1,High,3,Cyber Weapon,5,Low,2,Low,1,Lawful,3,No,3,Low,1,34,-2,34,-2,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Dummy Target,1,Low,2,Forested Terrain,5, 1-10,-1,Low,1,Immediate,5,Incendiary Weapon,1,Low,2,Low,1,Lawful,3,No,3,Low,1,35,-2,35,-2,Open to Debate,1,65,-3,65,-3,Open to Debate,2,
Electronic Warfare Installation,3,Low,2,Forested Terrain,5, 11-29,-2,Low,1,Immediate,5,Incendiary Weapon,1,Low,2,Low,1,Lawful,3,No,3,Low,1,36,-2,36,-2,Yes,2,70,1,70,1,Yes,3,
Electronic Warfare Installation,3,Low,2,Forested Terrain,5, 11-29,-2,Low,1,Immediate,5,Killer Drone,1,Low,2,Low,1,Lawful,3,No,3,Low,1,37,-2,37,-2,Yes,2,70,1,70,1,Yes,3,
Enemy Personnel,1,Low,2,Forested Terrain,5, 11-29,-2,Low,1,Immediate,5,Killer Drone,1,Low,2,Low,1,Lawful,3,No,3,Low,1,38,-2,38,-2,Yes,2,70,1,70,1,Yes,3,
Enemy Personnel,1,Low,2,Forested Terrain,5, 11-29,-2,Low,1,Immediate,5,Killer Drone,1,Low,2,Low,1,Lawful,3,No,3,Low,1,39,-2,39,-2,Yes,2,70,1,70,1,Yes,3,
Engineering Unit,2,Low,2,Forested Terrain,5, 11-29,-2,Low,1,Immediate,5,Killer Drone,1,Low,2,Low,1,Lawful,3,No,3,Low,1,40,-2,40,-2,Yes,2,70,1,70,1,Yes,3,
Engineering Unit,2,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Killer Drone,1,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,41,-1,41,-1,Yes,2,70,1,70,1,Yes,3,
Fighter Aircraft,4,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Killer Drone,1,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,42,-1,42,-1,Yes,2,70,1,70,1,Yes,3,
Frigate,4,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Killer Drone,1,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,43,-1,43,-1,Yes,2,70,1,70,1,Yes,3,
Fuel Depot,2,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,44,-1,44,-1,Yes,2,70,1,70,1,Yes,3,
Fuel Depot,2,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,45,-1,45,-1,Yes,2,70,1,70,1,Yes,3,
High-Value Target,5,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,46,-1,46,-1,Yes,2,75,2,75,2,Yes,3,
High-Value Target,5,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,47,-1,47,-1,Yes,2,75,2,75,2,Yes,3,
High-Value Target,5,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,48,-1,48,-1,Yes,2,75,2,75,2,Yes,3,
High-Value Target,5,Medium,3,Hilly Terrain,5, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,49,-1,49,-1,Yes,2,75,2,75,2,Yes,3,
High-Value Target,5,Medium,3,Historical Site,1, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Plausible,1,Medium,1,50,-1,50,-1,Yes,2,75,2,75,2,Yes,3,
High-Value Target,5,Medium,3,Historical Site,1, 11-29,-2,Medium,2,Immediate,5,Laser-Guided Rocket,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,51,1,51,1,Yes,2,75,2,75,2,Yes,3,
Infantry Platoon,2,Medium,3,Industrial Zone,2, 11-29,-2,Medium,2,Immediate,5,Lethal Autonomous Weapons System,1,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,52,1,52,1,Yes,2,75,2,75,2,Yes,3,
Infantry Platoon,2,Medium,3,Industrial Zone,2, 11-29,-2,Medium,2,Immediate,5,Lethal Autonomous Weapons System,1,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,53,1,53,1,Yes,2,75,2,75,2,Yes,3,
Infantry Squad,1,Medium,3,Industrial Zone,2, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,54,1,54,1,Yes,2,75,2,75,2,Yes,3,
Infantry Squad,1,Medium,3,Medical Facility,-5, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,55,1,55,1,Yes,2,75,2,75,2,Yes,3,
Inflatable Military Decoy,1,Medium,3,Medical Facility,-5, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,56,1,56,1,Yes,2,75,2,75,2,Yes,3,
Inflatable Military Decoy,1,Medium,3,Medical Facility,-5, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,57,1,57,1,Yes,2,75,2,75,2,Yes,3,
Logistics Unit,2,Medium,3,Medical Facility,-5, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,58,1,58,1,Yes,2,75,2,75,2,Yes,3,
Logistics Unit,2,Medium,3,Medical Facility,-5, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,59,1,59,1,Yes,2,75,2,75,2,Yes,3,
Mast Antennas,3,Medium,3,Public Area,-4, 11-29,-2,Medium,2,Immediate,5,Precision Strike Missile,5,Medium,1,Medium,1,Lawful,3,Potential,1,Medium,1,60,1,60,1,Yes,2,75,2,75,2,Yes,3,
Mast Antennas,3,Very_High,5,Public Area,-4,100-200,-5,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,61,2,61,2,Yes,2,75,2,75,2,Yes,3,
Medical Installation,-5,Very_High,5,Public Area,-4,100-200,-5,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,62,2,62,2,Yes,2,75,2,75,2,Yes,3,
Medical Installation,-5,Very_High,5,Public Area,-4,100-200,-5,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,63,2,63,2,Yes,2,75,2,75,2,Yes,3,
Medical Vehicle,-5,Very_High,5,Public Area,-4,100-200,-5,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,64,2,64,2,Yes,2,75,2,75,2,Yes,3,
Medical Vehicle,-5,Very_High,5,Public Area,-4,100-200,-5,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,65,2,65,2,Yes,2,75,2,75,2,Yes,3,
Military Equipment,1,Very_High,5,Railway Infrastructure,2,30-49,-3,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,66,2,66,2,Yes,2,80,3,80,3,Yes,3,
Military Equipment,1,Very_High,5,Railway Infrastructure,2,30-49,-3,Very_High,3,Immediate,5,Sniper,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,67,2,67,2,Yes,2,80,3,80,3,Yes,3,
Military Equipment CL I,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,68,2,68,2,Yes,2,80,3,80,3,Yes,3,
Military Equipment CL I,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Questionable,1,Realizable,1,Very_High,-3,69,2,69,2,Yes,2,80,3,80,3,Yes,3,
Military Equipment CL II,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Neutral,2,Realizable,1,Very_High,-3,70,2,70,2,Yes,2,80,3,80,3,Yes,3,
Military Equipment CL II,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,71,3,71,3,Yes,2,80,3,80,3,Yes,3,
Military Equipment CL IV,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,72,3,72,3,Yes,2,80,3,80,3,Yes,3,
Military Equipment CL IV,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,73,3,73,3,Yes,2,80,3,80,3,Yes,3,
Military Installation,1,Very_High,5,Residential Area,-4,30-49,-3,Very_High,3,Normal,1,SOF Unit,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,74,3,74,3,Yes,2,80,3,80,3,Yes,3,
Military Installation,1,Very_High,5,Suburban Area,-2,30-49,-3,Very_High,3,Normal,1,Surface-to-Air Missile,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,75,3,75,3,Yes,2,80,3,80,3,Yes,3,
Mobile Command Vehicle,4,Very_High,5,Suburban Area,-2,30-49,-3,Very_High,3,Normal,1,Surface-to-Air Missile,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,76,3,76,3,Yes,2,90,4,90,4,Yes,3,
Mobile Command Vehicle,4,Very_High,5,Suburban Area,-2,30-49,-3,Very_High,3,Normal,1,Surface-to-Air Missile,5,Very_High,-2,Very_High,-1,Neutral,2,Theoretical,1,Very_High,-3,77,3,77,3,Yes,2,90,4,90,4,Yes,3,
Motorized Unit,2,Very_High,5,Suburban Area,-2,30-49,-3,Very_High,3,Normal,1,Surface-to-Air Missile,5,Very_High,-2,Very_High,-1,Legitimate,2,Theoretical,1,Very_High,-3,78,3,78,3,Yes,2,90,4,90,4,Yes,3,
Motorized Unit,2,Very_High,5,Suburban Area,-2,30-49,-3,Very_High,3,Normal,1,Surface-to-Air Missile,5,Very_High,-2,Very_High,-1,Legitimate,2,Theoretical,1,Very_High,-3,79,3,79,3,Yes,2,90,4,90,4,Yes,3,
Naval Base,3,Very_High,5,Suburban Area,-2,30-49,-3,Very_High,3,Normal,1,Surface-to-Air Missile,5,Very_High,-2,Very_High,-1,Legitimate,2,Theoretical,1,Very_High,-3,80,3,80,3,Yes,2,90,4,90,4,Yes,3,
Naval Base,3,Very_Low,1,Suburban Area,-2,30-49,-3,Very_Low,-1,Normal,1,Surface-to-Air Missile,5,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,81,4,81,4,Yes,2,90,4,90,4,Yes,3,
Observation Post,1,Very_Low,1,Transportation Hub,1,30-49,-3,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,82,4,82,4,Yes,2,90,4,90,4,Yes,3,
Observation Post,1,Very_Low,1,Transportation Hub,1,30-49,-3,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,83,4,83,4,Yes,2,90,4,90,4,Yes,3,
Radar Installation,4,Very_Low,1,Transportation Hub,1,30-49,-3,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,84,4,84,4,Yes,2,90,4,90,4,Yes,3,
Radar Installation,4,Very_Low,1,Transportation Hub,1,30-49,-3,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,85,4,85,4,Yes,2,90,4,90,4,Yes,3,
Reconnaissance Unit,2,Very_Low,1,Tunnel and Cave,1,50-99,-4,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,86,4,86,4,Yes,2,100,5,100,5,Yes,3,
Reconnaissance Unit,2,Very_Low,1,Urban Center,-4,50-99,-4,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Legitimate,2,Unlikely,2,Very_Low,2,87,4,87,4,Yes,2,100,5,100,5,Yes,3,
Ship Maintenance Facility,1,Very_Low,1,Urban Center,-4,50-99,-4,Very_Low,-1,Normal,1,Thermobaric Munition,1,Very_Low,3,Very_Low,2,Neutral,2,Unlikely,2,Very_Low,2,88,4,88,4,Yes,2,100,5,100,5,Yes,3,
Ship Maintenance Facility,1,Very_Low,1,Urban Center,-4,50-99,-4,Very_Low,-1,Normal,1,Torpedo,4,Very_Low,3,Very_Low,2,Neutral,2,Unlikely,2,Very_Low,2,89,4,89,4,Yes,2,100,5,100,5,Yes,3,
Signal Tower,4,Very_Low,1,Urban Center,-4,50-99,-4,Very_Low,-1,Normal,1,Torpedo,4,Very_Low,3,Very_Low,2,Questionable,1,Unlikely,2,Very_Low,2,90,4,90,4,Yes,2,100,5,100,5,Yes,3,
Signal Tower,4,Very_Low,1,Urban Center,-4,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,91,5,91,5,Yes,2,100,5,100,5,Yes,3,
Sniper Team,2,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,92,5,92,5,Yes,2,100,5,100,5,Yes,3,
Sniper Team,2,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,93,5,93,5,Yes,2,100,5,100,5,Yes,3,
Training Centre,1,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,94,5,94,5,Yes,2,100,5,100,5,Yes,3,
Training Centre,1,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,95,5,95,5,Yes,2,100,5,100,5,Yes,3,
Unmanned Aerial Vehicle,2,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,96,5,96,5,Yes,2,100,5,100,5,Yes,3,
Unmanned Aerial Vehicle,2,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,97,5,97,5,Yes,2,100,5,100,5,Yes,3,
Unmanned Ground Vehicle,1,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,Unguided Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,98,5,98,5,Yes,2,100,5,100,5,Yes,3,
Unmanned Ground Vehicle,1,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,White Phosphorus Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,99,5,99,5,Yes,2,100,5,100,5,Yes,3,
Unmanned Maritime Systems,1,Very_Low,1,Village,-3,50-99,-4,Very_Low,-1,Normal,1,White Phosphorus Bomb,1,Very_Low,3,Very_Low,2,Questionable,1,Yes,-2,Very_Low,2,100,5,100,5,Yes,2,100,5,100,5,Yes,3,
